"Metaphor","SubMetaphor","Title","aliases","acronyms","NOTES"
"African Buffalo",NA,"Solving the Traveling Salesman's Problem Using the African Buffalo Optimization","african buffalo","",""
"Algae",NA,"Artificial algae algorithm ({AAA}) for nonlinear global optimization","artificial algae","AAA",""
"Amoeba",NA,"A Bio-Inspired Method for the Constrained Shortest Path Problem","amoeba optim, amoeba algo","",""
"Amoeba","Plasmodium","Remarkable problem-solving ability of unicellular amoeboid organism and its mechanism",NA,NA,NA
"Anarchic Society",NA,"Anarchic Society Optimization Based {PID} Control of an Automatic Voltage Regulator ({AVR}) System","anarchic society optim, anarchic society algo","",""
"Andean Condors",NA,"Andean Condor Algorithm for cell formation problems","andean condor","",""
"Anglerfish",NA,"The Anglerfish algorithm: a derivation of randomized incremental construction technique for solving the traveling salesman problem",NA,NA,NA
"Animal Behavior","Hunting","Mathematical models and a hunting search algorithm for the no-wait flowshop scheduling with parallel machines","hunting search","",""
"Animal Behavior","Predation","Prey-Predator Algorithm: A New Metaheuristic Algorithm for Optimization Problems","prey-predator optim, prey-predator algo, prey predator optim, prey predator algo, predator-prey optim, predator-prey algo, predator prey optim, predator prey algo","PPA",""
"Animal Behavior","Searching","Group Search Optimizer: An Optimization Algorithm Inspired by Animal Searching Behavior","group search optim, group search algo","",""
"Ant Colony",NA,"Distributed optimization by ant colonies","ant colony","ACO","MAYBE REMOVE?"
"Ant Lion",NA,"The Ant Lion Optimizer","ant lion, ant-lion","",""
"Antibodies",NA,"The clonal selection algorithm with engineering applications","clonal selection, artificial immune systems, immune algorithm, immune network","CLONALG, AiNET",""
"Artillery",NA,"A new metaheuristic optimization method: the algorithm of the innovative gunner ({AIG})",NA,NA,NA
"Bachelors",NA,"Old Bachelor Acceptance: A New Class of Non-Monotone Threshold Accepting Methods","bachelor","",""
"Bacteria","Bacterial Chemotaxis","Optimization based on bacterial chemotaxis","bacterial chemotaxis","",""
"Bacteria","Bacterial Foraging","Biomimicry of bacterial foraging for distributed optimization and control","bacterial foraging","",""
"Bacteria","Bacterial Swarming","A Fast Bacterial Swarming Algorithm for high-dimensional function optimization","bacterial swarming","",""
"Bacteria","Magnetotactic Bacteria","Magnetotactic bacteria optimization algorithm for multimodal optimization","magnetotactic bacteria","",""
"Barnacles Mating",NA,"Barnacles Mating Optimizer Algorithm for Optimization",NA,NA,NA
"Bats",NA,"A new metaheuristic bat-inspired algorithm","bat algo, bat optim, bat-inspired, bat inspired","BA",""
"Battle Royale Game",NA,"Battle royale optimization algorithm",NA,NA,NA
"Beetles",NA,"Pity beetle algorithm {\textendash} A new metaheuristic inspired by the behavior of bark beetles",NA,NA,NA
"Bees","Bee Colonies","Bee Colony Optimization: Principles and Applications","bee colony, bee algo, bee optim","ABC, BCO",""
